fecha,producto_id,codigo,producto,categoria,origen,precio,costo,cantidad_vendida,ingreso
2026-01-01,ccc1fa5f-09b9-486c-8a74-3dfa0298911a,CEM-001,Cemento gris 42.5 kg,Construcción,sistema,245.00,198.00,0,0.00
2026-01-01,0952bcea-dcc1-484d-b422-b1a41871f4be,CER-001,Candado de bronce 40 mm,Cerrajería,sistema,145.00,92.00,0,0.00
2026-01-01,126b5449-9df4-496e-a1b9-f527a5ea0c0a,CER-023,Candado de bronce 40 mm,Cerrajería,sistema,120.00,90.00,0,0.00
2026-01-01,30cf2d34-7ddc-45a8-9eac-4a9fc4cfa3f5,ELE-001,Cable THHN #12 (rollo 100 m),Eléctrico,sistema,1150.00,890.00,0,0.00
2026-01-01,DS-P010,FER-010,Mortero seco 40 kg,Construcción,sintetico,165.00,128.00,0,0.00
2026-01-01,DS-P011,FER-011,Pegamento para cerámica 20 kg,Construcción,sintetico,210.00,158.00,0,0.00
2026-01-01,DS-P012,FER-012,Impermeabilizante acrílico 1 galón,Construcción,sintetico,520.00,385.00,0,0.00
2026-01-01,DS-P013,FER-013,Malla electrosoldada 6x6 (lámina),Construcción,sintetico,690.00,548.00,0,0.00
2026-01-01,DS-P014,FER-014,Alambre de amarre (libra),Construcción,sintetico,38.00,24.00,0,0.00
2026-01-01,DS-P015,FER-015,Tomacorriente doble polarizado,Eléctrico,sintetico,68.00,41.00,0,0.00
2026-01-01,DS-P016,FER-016,Interruptor sencillo,Eléctrico,sintetico,55.00,33.00,0,0.00
2026-01-01,DS-P017,FER-017,Breaker 20 A enchufable,Eléctrico,sintetico,188.00,132.00,0,0.00
2026-01-01,DS-P018,FER-018,"Cinta aislante 3/4"" x 20 m",Eléctrico,sintetico,32.00,17.00,0,0.00
2026-01-01,DS-P019,FER-019,Bombillo LED 12 W,Eléctrico,sintetico,75.00,44.00,0,0.00
2026-01-01,DS-P020,FER-020,"Codo PVC 1/2"" x 90°",Plomería,sintetico,9.00,5.40,0,0.00
2026-01-01,DS-P021,FER-021,"Tee PVC 1/2""",Plomería,sintetico,11.00,6.60,0,0.00
2026-01-01,DS-P022,FER-022,Pegamento PVC 1/4 galón,Plomería,sintetico,148.00,98.00,0,0.00
